Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t
2004-06-23,0.10659055,0.28872185017380736,0.5641036314822221,0.30370868567143916,-0.07105978979725072,0.011805261568066014
2004-06-24,0.10806475,0.29279377514330907,0.5682407406758629,0.3069527268831467,-0.036855577068420964,0.005682386465455964
2004-06-25,0.09800273,0.28238062092789606,0.5911890884892067,0.21909995500747034,0.1631659328282964,0.017564589272828172
2004-06-28,0.098163,0.24752021403159383,0.5620962738371685,0.17078855703887447,0.04164422892509034,0.01608701196591473
2004-06-29,0.09678023,0.2993012988055098,0.6265537996296174,0.1895596665381591,0.2537366256942344,0.011108079354347782
2004-06-30,0.09739709,0.3234137260191401,0.6168677797335066,0.28701652374312026,0.07303001862097891,0.019416596758720248
2004-07-01,0.10502945,0.28919576270770553,0.5867855106517792,0.25153976503521297,-0.09708091984929287,0.0135065635466166
2004-07-02,0.10507952,0.3174001800393003,0.6229663772581442,0.25427003525854025,-0.15427158468172944,0.006052054233009905
2004-07-06,0.10576308,0.3020281709477104,0.6248322721757685,0.20221533724190358,-0.18941481361591314,0.012809312315767039
2004-07-07,0.10429659,0.3019855993188415,0.612443455210258,0.2314077192615387,-0.10410854443665707,0.012135533427576459
2004-07-08,0.09013265,0.28119385611885966,0.5868257795423696,0.2255667282211258,-0.046478992242034556,0.04013754943030523
2004-07-09,0.09105778,0.22401502289595782,0.5363149493998476,0.14790971768274913,-0.10016206978519487,0.027831824257151454
2004-07-12,0.08624183,0.2020650642125721,0.5199893648155555,0.10397820995024536,-0.1949758249984936,0.04262249808165286
2004-07-13,0.0843024,0.20313597976954934,0.49202232694407455,0.17431353186329274,-0.04073211703303134,0.05543480813010965
2004-07-14,0.0783334,0.15897277980743474,0.442024690587124,0.11163895846559711,0.04421245683923705,0.09921494749621755
2004-07-15,0.07555189,0.18912934378368768,0.4416205094019034,0.23863459448231156,0.06605830348034653,0.15394007089396486
2004-07-16,0.07605636,0.1580733588263752,0.38080860718496334,0.25260436841002953,0.02848269484036195,0.1762279418189951
2004-07-19,0.07612412,0.09322673008003537,0.29380772135886907,0.13518378903989003,0.06062889919908222,0.19482418067762028
2004-07-20,0.08042207,0.06831247442848962,0.23808910012489992,0.11182517642362459,0.0880201704478742,0.21151158067925946
2004-07-21,0.09060337,0.09857922813908125,0.24446798325335262,0.28240292704159453,0.10256564995569385,0.214353211215975
2004-07-22,0.08998903,0.12527230102712517,0.26190036349698076,0.3814595897220653,0.06865001963368887,0.08876157437839306
2004-07-23,0.08634681,0.23023943957486503,0.36838402517572966,0.5680712968798667,-0.026344924972649092,0.15475951757681877
2004-07-26,0.08634278,0.1685716097267367,0.32276181409020477,0.4353163824462224,0.02523492290561996,0.1402471038880542
