Date,Close,Return,RealizedVol,VIX,HY_OAS,GPR,CESI,PMI_change,PutCall,HHI,MeanCorr,f_bur,f_cat,f_sent,f_mac,f_liq,C_norm
2019-06-20,2954.179932,0.00942761,0.12872328,14.75,4.03,72.56913757,-61.6,-1,0.52,0.10964244,0.40231496,-0.99594806,-0.49668547,-0.61203544,-0.89758717,-0.5166158,0.43147503
2019-06-21,2950.459961,-0.00126002,0.12817685,15.39999962,3.95,125.9995041,-62.4,-1,0.53,0.10973554,0.423872,-0.99578305,0.27463887,-0.56410725,-0.90114156,-0.53789898,0.45403563
2019-06-24,2945.350098,-0.00173339,0.1191422,15.26000023,4,171.2474518,-60.4,-1,0.59,0.10963948,0.41439377,-0.99590095,0.75393664,-0.19672049,-0.89162988,-0.52459094,0.44411616
2019-06-25,2917.379883,-0.00954178,0.12572175,16.28000069,4.09,82.01680756,-68.1,-1,0.63,0.10974687,0.41783638,-0.99571242,-0.37897506,0.09341044,-0.92368564,-0.50002343,0.44771903
2019-06-26,2913.780029,-0.0012347,0.12095051,16.20999908,4.05,123.7572021,-65.9,-1,0.67,0.10962305,0.40921612,-0.99587365,0.24218364,0.36849873,-0.91545695,-0.51097718,0.43869747
2019-06-27,2924.919922,0.00381589,0.11676506,15.81999969,4.09,134.9403381,-67.5,-1,0.58,0.10970112,0.37208054,-0.99572946,0.39705039,-0.2661146,-0.92134486,-0.49992611,0.39983309
2019-06-28,2941.76001,0.00574094,0.11733932,15.07999992,4.07,153.9024811,-68.3,-1,0.55,0.10964235,0.37348229,-0.9957926,0.61291624,-0.45615383,-0.92408591,-0.50540124,0.4013001
2019-07-01,2964.330078,0.00764302,0.10333583,14.06000042,3.99,112.5192795,-59.2,-1.1,0.65,0.10959691,0.33416871,-0.99583469,0.07288338,0.2357817,-0.88491431,-0.52703382,0.36015634
2019-07-02,2973.01001,0.00292385,0.10080853,12.93000031,4.04,138.2222443,-59.3,-1.1,0.66,0.10960374,0.40402127,-0.99579822,0.43888013,0.30366799,-0.88532401,-0.51350903,0.43326078
2019-07-03,2995.820068,0.0076431,0.08014905,12.56999969,4.02,66.82413483,-65.4,-1.1,0.64,0.10960551,0.32312394,-0.99576923,-0.56105154,0.16542739,-0.91299201,-0.51888187,0.34859739
2019-07-05,2990.409912,-0.00180753,0.07978305,13.27999973,3.98,98.34883881,-58.5,-1.1,0.61,0.1094479,0.3310671,-0.99597624,-0.14528096,-0.05286749,-0.88087061,-0.52955276,0.35691033
2019-07-08,2975.949951,-0.00484717,0.08283179,13.96000004,4,53.50696945,-55.8,-1.1,0.63,0.10929882,0.3296966,-0.99616074,-0.68606681,0.09340343,-0.86544013,-0.52416226,0.35547603
2019-07-09,2979.629883,0.00123579,0.07719092,14.09000015,4.03,96.65317535,-56.8,-1.1,0.58,0.10928221,0.33229431,-0.99615855,-0.17075687,-0.26626179,-0.87121222,-0.51602342,0.35819468
2019-07-10,2993.070068,0.00450055,0.07712175,13.02999973,4.01,100.7791748,-56.3,-1.1,0.51,0.10919891,0.33454632,-0.99624677,-0.10813123,-0.65611317,-0.86819159,-0.52137813,0.36055152
2019-07-11,2999.909912,0.00228262,0.0767687,12.93000031,4,119.679863,-46.8,-1.1,0.61,0.10926078,0.33421567,-0.99613777,0.18203908,-0.05270072,-0.79986726,-0.52401522,0.36020548
2019-07-12,3013.77002,0.00460953,0.07597737,12.39000034,4.02,107.3701401,-46.4,-1.1,0.55,0.10912222,0.34257705,-0.99629993,-0.00652557,-0.45630987,-0.79629102,-0.51858101,0.36895611
2019-07-15,3014.300049,0.00017585,0.07593779,12.68000031,4,31.05532265,-44.4,-1.1,0.59,0.10916942,0.31466819,-0.99621228,-0.83003942,-0.19670433,-0.77801384,-0.52391684,0.339748
2019-07-16,3004.040039,-0.00340958,0.07725211,12.85999966,3.96,76.37043762,-42,-1.1,0.62,0.10928183,0.31801603,-0.99603192,-0.4513411,0.02069565,-0.75423763,-0.5345138,0.34325169
2019-07-17,2984.419922,-0.00655267,0.08259131,13.97000027,4.01,147.225235,-46.3,-1.1,0.67,0.10922329,0.34092946,-0.99608868,0.54474108,0.3690874,-0.79512788,-0.52112666,0.36723182
2019-07-18,2995.110107,0.0035756,0.07757424,13.52999973,4.11,102.6806717,-41.5,-1.1,0.6,0.10922162,0.36156624,-0.99606574,-0.07883969,-0.1253868,-0.74881406,-0.49362482,0.38882932
2019-07-19,2976.610107,-0.00619589,0.08140734,14.44999981,4.07,48.77944183,-41.6,-1.1,0.6,0.10924208,0.36094879,-0.99601156,-0.72293771,-0.12537549,-0.74976236,-0.50468409,0.38818312
