Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t
2023-05-05,0.13913684,0.10838826936298095,0.23415151566400816,0.3606846001035533,0.10870536945094217,0.1210188807314321
2023-05-08,0.1386965,0.17183606692047662,0.3367186137614966,0.41637330305717324,0.15957947782436743,0.0828795727936752
2023-05-09,0.13973112,0.39858473985962656,0.5557207795398329,0.6477035604362371,0.18321752363182414,0.08340745810180232
2023-05-10,0.14053998,0.32714327195303566,0.537378332020856,0.48686060963419386,0.29507841362946263,0.08108246591893031
2023-05-11,0.13981232,0.36429439038915506,0.5679309869300984,0.523355048224246,0.21926094734378407,0.0815348027337244
2023-05-12,0.13201408,0.3539758803025176,0.556519713613367,0.5207439374705318,0.06383890658071034,0.08795316496569344
2023-05-15,0.13229028,0.22331116911032836,0.42699044622358734,0.404460066501525,0.0015031906790397564,0.08055156521832464
2023-05-16,0.13348771,0.20775294519777307,0.42398039327023995,0.3534041857318655,0.1319542203302957,0.08394217255203061
2023-05-17,0.14010763,0.2867426649183905,0.5059115734891053,0.4354749394312878,0.10654498385893224,0.07378005127332467
2023-05-18,0.14380163,0.22504285488738515,0.4627541834203609,0.3261457840988825,0.06571285833152374,0.07147280624117561
2023-05-19,0.14208204,0.19872787530166292,0.41748015045549447,0.3340038507068859,0.025159398028524543,0.07576518895283747
2023-05-22,0.14209298,0.27199180644155896,0.4892400290007314,0.4267102161994897,0.0485458804377856,0.07247993769475171
2023-05-23,0.14800155,0.2412171647605908,0.4753549501508475,0.35439480035317966,-0.00416826320821892,0.0794674631903824
2023-05-24,0.13899078,0.19914390921564595,0.4191561813116996,0.331657790487002,-0.05145387989236644,0.08434876733752512
2023-05-25,0.14083439,0.1948247401632297,0.42225568213479125,0.30740167290807563,0.09442777555513826,0.07904007267777251
2023-05-26,0.13181501,0.18921997477304683,0.4019879405774134,0.33313161049334183,0.026979528922336432,0.15816539799507895
2023-05-30,0.12903126,0.24761550948991273,0.4476561497479828,0.44237861550054114,0.0034017494449238295,0.16257599788467408
2023-05-31,0.13099529,0.16542234493897925,0.3662936287184486,0.319135706994315,0.15502824051493122,0.15435064527795292
2023-06-01,0.12771077,0.1759054531634241,0.3595345315420726,0.3793685004363337,0.17343649702246444,0.20876439171761446
2023-06-02,0.13194623,0.29805555742614065,0.4919652664469154,0.5046124604629771,0.18292154800990623,0.2147158048165293
2023-06-05,0.12843226,0.20340133589356216,0.39139846128829375,0.41385720050686403,0.12319499191228028,0.15153423600452967
2023-06-06,0.11474356,0.1666136437146203,0.34819757315622435,0.3670702947914693,0.08621065773914555,0.21760604896884755
2023-06-07,0.11625866,0.10139789975685222,0.26227929459130594,0.2561569562587999,0.15815475216285746,0.22768142678689365
2023-06-08,0.115166,0.16156228123725289,0.3404690300343137,0.36361526258140275,0.22875111186729388,0.28197858892067956
2023-06-09,0.11483387,0.10830415305808068,0.2614642984021437,0.29558189487050207,0.21789654025785127,0.2813682057523958
2023-06-12,0.11687326,0.11908032432006102,0.24670460784202164,0.3866352401943854,0.17504253861940156,0.27657002639396966
2023-06-13,0.11698027,0.18556621058047895,0.31242024161472254,0.5304658009901599,0.13433770884988488,0.26861676499504206
2023-06-14,0.11716637,0.13159942711996633,0.2524959885546761,0.4349104316387332,0.07312799286932353,0.2601669074413338
2023-06-15,0.11670192,0.14799362689241705,0.2658091880370052,0.480118315432548,0.1034984704493677,0.34935556618526287
